KEY,zh-CN
{0}:injuryignored,{0}: 无视受伤
{0}:careerscore,{0}: 生涯分数
{0}%priceincrease,{0}%加价
{0}%discount,{0}%折扣
{0}%damagereduction,{0}%减伤
{0:0*##}ton{1}remaining,{0:0.##}吨{1}剩余
{0:+0;-#}crit%,{0:+0;-#}致命一击%
{0:+0;-#}acc,{0:+0;-#}精度
{0:0*##}ton{1}overweight,{0:0.##}吨{1}超重
[static]no!itsnotpossible!icanstillwinthis!,[干扰声]不! 这不可能! 我还能赢的!
[static]kameadoyoureadme?,[干扰声]卡梅娅\u2026听到了吗?
[static]kamea[static]kamea^doyoureadme?!itsespinosayouruncle!doyouhearme?[static]houseespinosaisusurpingthethrone!,[干扰声]卡梅娅\u2026干扰声]卡梅娅 听到了吗?! 是埃斯皮诺萨\u2014是你叔叔! 听到了吗? [干扰声]埃斯皮诺萨家族篡位了!
[static]kamea?[static]kamea^canyouhearme?,[干扰声]卡梅娅? [干扰声]\u2026卡梅娅 听得到吗?
[static]adyarano?ladyarano^doyoureadme?,[干扰声]\u2014拉诺大人? 阿拉诺大人 你听到了吗?
[sigh]well^theregoesourgoddamnedpayday*holdtight^commanderwereonourway*,[叹气]好吧 我们天杀的发薪日就这么过了. 抓紧了指挥官\u2014我们上路了.
[onheadlessstatecomplete]success!,[OnHeadlessStateComplete]成功!
[onheadattachedstatecomplete]success!,[OnHeadAttachedStateComplete]成功!
[laughing]boldwords^cousinbuttheonlyvictorytheyllbecelebratingismine*youmaybeascendingthethronetoday^butmykagaismorethanamatchforthefamilyheirloomthatyoucallabattlemechandinthearena^ireignsupreme*,[大笑]说大话呢 表姐\u2026可他们只会欢呼一场胜利 那就是我的胜利. 也许今天你会登上王座 但我的"加贺"Kaga(维公主的K-2型"弩炮")可不只是一部被你称作战斗机甲的传家宝\u2026在竞技场 我就是王.
[genericvo]thesecondaryassetissustainingdamage^commander!,[GENERIC VO]次要资产正持续受到损伤 指挥官!
[genericvo]theassetissustainingdamage^commander!,[GENERIC VO]资产正持续受到损伤 指挥官!
[chuckling]wellsee^cousinwellsee*atanyrate^iwillseeyouatthetourneygrounds*sirraju^imreadytogowhenyouare*overland^alongthecormorantroad^asisthearanotradition*,[吃吃地笑]我们走着瞧 表妹\u2014我们走着瞧. 反正我会在比武场见你. 拉朱先生 你们好了我就准备走. 按照阿拉诺家族的传统 沿着鸬鹚大道走陆路.
(flashpointname)iii,(flashpoint name) III
[amt]difficultytoallofthisunitsattacksuntilitsnextactivation*,[AMT]下一轮行动前 该单位所有攻击的难度.
[[res_mw^{res_mw*callsign}isnolongerwiththecompanyfor{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]机甲驾驶员离开公司 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}gains{res_value*tostring}[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experience,[[RES_MW{RES_MW.Callsign}]]获得了{RES_VALUE.ToString}[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]]
[[res_mw^{res_mw*callsign}diesfor{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]已经死了{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}dies,[[RES_MW{RES_MW.Callsign}]]死了
[[res_mech^{res_mech*name}taghasexpired:,[[RES_MECH{RES_MECH.Name}]]特性过期:
[[res_mech^{res_mech*name}suffers{res_value*tostring}damagefor{res_duration*tostring}days,[[RES_MECH{RES_MECH.Name}]]蒙受{RES_VALUE.ToString}点伤害 持续{RES_DURATION.ToString}天
[[res_mech^{res_mech*name}suffers{res_value*tostring}damage,[[RES_MECH{RES_MECH.Name}]]蒙受{RES_VALUE.ToString}点伤害
[[res_mech^{res_mech*name}haslostthefollowingtagsfor{res_duration*tostring}days:,[[RES_MECH{RES_MECH.Name}]]失去了以下特性 持续{RES_DURATION.ToString}天:
[[res_mech^{res_mech*name}haslostthefollowingtags:,[[RES_MECH{RES_MECH.Name}]]失去了以下特性:
[[res_mech^{res_mech*name}hasgainedthefollowingtagsfor{res_duration*tostring}days:,[[RES_MECH{RES_MECH.Name}]]获得了以下特性 持续{RES_DURATION.ToString}天:
[[res_mech^{res_mech*name}hasgainedthefollowingtags:,[[RES_MECH{RES_MECH.Name}]]获得了以下特性:
***tellmesomething^guardsman*iftheroadisclear^whyisyourbattlemechdamaged?,...告诉我 卫兵. 要是这条道路安全的话 为什么你的机甲受损了?
***soletsscoutoutthetargetarea*whenwevefoundtheconvoy^westopitfromreachingitsdestination*,...那我们去侦察目标区域吧. 当我们发现车队的时候 就截停它 不让它到达目的地.
***soletsreconthearea*whencontactismade^wemuststopanddestroyourtargetbeforeitreachesitsdestination*,...那我们去侦察这一地区吧. 发生接触时 我们必须要在目标到达目的地前截停目标 并摧毁它.
***newlineand{0}additionaldestroyedcomponents*newline,...\n和其它{0}被摧毁的部件.\n
***here*,...这儿.
***andextractsafelywiththepackageintact*,...并且安全脱离时保证包裹安然无恙. 
***andextractsafely*keepthemechcarryingthevipinonepiece!,...并且安全脱离. 请保障载有VIP的机甲安然无恙!
***andextractsafely*keepthemechcarryingtheartistinonepiece!,...并且安全脱离. 请保障载有艺术家的机甲安然无恙!
[[res_mw^{res_mw*callsign}gains{res_value*tostring}[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experiencefor{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]获得了{RES_VALUE.ToString}[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]] 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moralesetto{res_value*tostring}for{res_duration*tostring}days,[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]被设置为{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moralesetto{res_value*tostring},[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]被设置为{RES_VALUE.ToString}
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moraleincreasedby{res_value*tostring}for{res_duration*tostring}days,[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]增加了{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moraleincreasedby{res_value*tostring},[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]增加了{RES_VALUE.ToString}
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moraledecreasedby{res_value*tostring}for{res_duration*tostring}days,[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]减少了{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_morale]^moraledecreasedby{res_value*tostring},[[DM.SimGameStatDescDefs[SimGameStatDesc_Morale] 士气]]减少了{RES_VALUE.ToString}
[[dm*simgamestatdescdefs[simgamestatdesc_medtechskill]^medicalpointsaresetto{res_value*tostring}for{res_duration*tostring}days,[[DM.SimGameStatDescDefs[SimGameStatDesc_MedTechSkill] 医疗点数]]被设置为{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_medtechskill]^medicalpointsaresetto{res_value*tostring},[[DM.SimGameStatDescDefs[SimGameStatDesc_MedTechSkill] 医疗点数]]被设置为{RES_VALUE.ToString}
[[dm*simgamestatdescdefs[simgamestatdesc_mechtechskill]^techpointsaresetto{res_value*tostring}for{res_duration*tostring}days,[[DM.SimGameStatDescDefs[SimGameStatDesc_MechTechSkill] 技师点数]]被设置为{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[dm*simgamestatdescdefs[simgamestatdesc_mechtechskill]^techpointsaresetto{res_value*tostring},[[DM.SimGameStatDescDefs[SimGameStatDesc_MechTechSkill] 技师点数]]被设置为{RES_VALUE.ToString}
[[dm*basedescriptiondefs[statmechwarrior,[[DM.BaseDescriptionDefs[StatMechWarrior
[static]dr*murad^thepirateshavealphasquadpinneddownintheargosmainhallway*bravosquad***bravosquadisholdingthedoortoengineering^butyoudbetterhurryup!,[干扰声]穆拉德博士 海盗在<i>阿尔戈号</i>的主通道压制住了A组. B组...B组正坚守通往工程区的门 可你最好快些!
[genericvo]wewontbeabletotakethisone*packitin^commander*,[GENERIC VO]我们无法拿下这个了. 结束吧 指挥官.
[genericvo]thesecondaryassethasbeenrecovered^commander*,[GENERIC VO]次要资产已回收 指挥官.
[genericvo]theassethasbeenrecovered^commander*goodwork*,[GENERIC VO]资产已回收 指挥官. 干得漂亮. 
[genericvo]areaisnotclear^commander*eliminatethehostilesbeforecontinuingtothenextobjective*,[GENERIC VO]这一地区还没清理干净 指挥官. 请在继续执行下一个目标之前 消灭所有敌人.
[genericvo]sensorsareclear^proceedtothenextobjective*,[GENERIC VO]感应器上没有东西了 继续执行下一个目标.
[burstofgunfire][screaming]engineeringroomclear^dr*murad*werepushingforward*,[连续枪声][尖叫声]工程区安全 穆拉德博士 我们正向前推进.
[[res_system^{res_system*name}taghasexpired:,[[RES_SYSTEM{RES_SYSTEM.Name}]]特性已过期:
[[res_system^{res_system*name}haslostthefollowingtagsfor{res_duration*tostring}days:,[[RES_SYSTEM{RES_SYSTEM.Name}]]失去了以下特性 持续{RES_DURATION.ToString}天:
[[res_system^{res_system*name}haslostthefollowingtags:,[[RES_SYSTEM{RES_SYSTEM.Name}]]失去了以下特性:
[[res_system^{res_system*name}hasgainedthefollowingtagsfor{res_duration*tostring}days:,[[RES_SYSTEM{RES_SYSTEM.Name}]]获得了以下特性 持续{RES_DURATION.ToString}天:
[[res_system^{res_system*name}hasgainedthefollowingtags:,[[RES_SYSTEM{RES_SYSTEM.Name}]]获得了以下特性:
[[res_mw^{res_mw*callsign}willbeunavailablefor{res_value*tostring}days,[[RES_MW{RES_MW.Callsign}]]{RES_VALUE.ToString}天内 将无法使用
[[res_mw^{res_mw*callsign}taghasexpired:,[[RES_MW{RES_MW.Callsign}]]特性已过期:
[[res_mw^{res_mw*callsign}loses{res_value*tostring}[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experiencefor{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]失去{RES_VALUE.ToString}点[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]] 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}loses{res_value*tostring}[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experience,[[RES_MW{RES_MW.Callsign}]]失去{RES_VALUE.ToString}点[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]]
[[res_mw^{res_mw*callsign}isnolongerwiththecompany,[[RES_MW{RES_MW.Callsign}]]离开公司
[[res_mw^{res_mw*callsign}haslostthefollowingtagsfor{res_duration*tostring}days:,[[RES_MW{RES_MW.Callsign}]]失去了以下特性 持续{RES_DURATION.ToString}天:
[[res_mw^{res_mw*callsign}haslostthefollowingtags:,[[RES_MW{RES_MW.Callsign}]]失去了以下特性:
[[res_mw^{res_mw*callsign}hasgainedthefollowingtagsfor{res_duration*tostring}days:,[[RES_MW{RES_MW.Callsign}]]获得了以下特性 持续{RES_DURATION.ToString}天:
[[res_mw^{res_mw*callsign}hasgainedthefollowingtags:,[[RES_MW{RES_MW.Callsign}]]获得了以下特性:
*amercenaryscareer*,*一个雇佣兵的生涯*
*4ammo,* 4 弹药
(flashpointname)ii,(flashpoint name) II
(flashpointname),(flashpoint name)
(fauxobjective)artilleryhitsin,(Faux Objective) 炮火来袭时间
(debugmode)starting:{0},(调试模式) 开始: {0}
(debugmode)autocomplete:{0},(调试模式) 自动完成: {0}
(damaged),(DAMAGED)
(custom),  (Custom)
{0}:exceedsmaxinventoryslotsallowedforalocation,{0}: 超过该部位最大空位许用限制
{0}:exceedsmaxhardpointsallowedforalocation,{0}: 超过该部位最大挂点许用限制
{0}:exceedsitsmaxjumpjetcount,{0}: 超过它的跃进喷射器最大安装数量
{0}:{1}newline,{0}: {1}\n
{0}/mo,{0} / Mo
{0}/{1}berths,{0} / {1}舱位
{0:00}m{1:00}s,{0:00}分{1:00}秒
{0:00}h{1:00}m{2:00}s,{0:00}时{1:00}分{2:00}秒
{0:0^^*00}m,{0:0.00}分
{0:+#;-#}resolve,{0:+#;-#}决心
{0:+#;-#}heat,{0:+#;-#}热量
[[res_mw^{res_mw*callsign}suffers{res_value*tostring}x[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injuryfor{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]蒙受{RES_VALUE.ToString}x[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]] 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}suffers{res_value*tostring}x[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injury,[[RES_MW{RES_MW.Callsign}]]蒙受{RES_VALUE.ToString}x[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]]
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injuriessetto{res_value*tostring}for{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]]被设置为{RES_VALUE.ToString} 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injuriessetto{res_value*tostring},[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]]被设置为{RES_VALUE.ToString}点
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injuriesarereducedby{res_value*tostring}for{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]]减少了{RES_VALUE.ToString}点 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_injuries]^injuriesarereducedby{res_value*tostring},[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_Injuries] 伤势]]减少了{RES_VALUE.ToString}点
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experienceissetto{res_value*tostring}for{res_duration*tostring}days,[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]]被设置为{RES_VALUE.ToString}点 持续{RES_DURATION.ToString}天
[[res_mw^{res_mw*callsign}s[[dm*simgamestatdescdefs[simgamestatdesc_experienceunspent]^experienceissetto{res_value*tostring},[[RES_MW{RES_MW.Callsign}]]的[[DM.SimGameStatDescDefs[SimGameStatDesc_ExperienceUnspent] 经验]]被设置为{RES_VALUE.ToString}点
{commander*callsign}*irememberyouwellthelaterajumontgomeryheldyouinsuchhighesteem*andnowifindyouhere^servingmyexiledcousin*whereisshehiding^iwonder?,{COMMANDER.Callsign}. 我记得很牢\u2014已故的拉朱·蒙哥马利对你抱有<i>很</i>高的评价. 而现在我发现你在这儿 为我流亡的表姐做事. 我想知道 她躲到哪儿去了?
allprogresssincelastsavewillbelost,上次保存后的所有进度都会消失
allpilotsarealreadyinjuredinsomecapacity*,所有驾驶员都已经在某些程度上负伤了.
allowthesearch*,允许搜查.
allowdr*muradtoborrowyourmechwarrior*,允许穆拉德博士借调你的机甲战士.
allowcardgamesonthemessdeck*,允许他们在餐厅甲板玩牌.
allowayisrockyandbarren^exceptfora200km-wideequatorialbandoflushjunglethatteemswithnativelife*humansettlementsaremostlyconcentratedontheedgesofthisband*,阿洛韦是片满是石头的不毛之地 只有一条200公里宽的赤道带具有茂密的丛林 拥有大量的土著生物. 人类定居点多集中于这一地带的边缘.
alloway,阿洛韦
allow{tgt_mw*callsign}totrytoputoutthefire{tgt_mw*refl}*,允许{TGT_MW.Callsign}{TGT_MW.REFL}去灭火.
allow{tgt_mw*callsign}tocontinueinanauthorizedarea*,允许{TGT_MW.Callsign}在授权区域中继续行动.
allofthisdeath[static]thecoup^perditionmastiff*allofitfornothing*,\u2026所有这些死亡\u2026[干扰声]\u2026政变 佩尔迪申\u2026"獒犬". 一切\u2026都是徒劳.
allof{company*name}lancemustsurvive,{COMPANY.Name}小队所有单位必须存活
allof{company*companyname}lancemustsurvive,{COMPANY.CompanyName}小队所有单位必须存活
allmechscomeequippedwithastocktargetingandtrackingsystemorttswhichcanbeupgradedforimprovedperformance*upgradesincreaseaccuracywhenattackingwithballistic^energy^ormissileweaponry^dependingonthetypeoftts*,所有机甲都配备了常备瞄准追踪系统\u2014或者叫TTS\u2014它可以进行升级来改善性能. 升级能根据TTS的类型 提高使用弹道 能量 或导弹武器攻击的精度.
allmechscomeequippedwithastockcockpitconfiguration^whichcanbeupgradedforimprovedperformance*rangefindersincreasetherangeatwhichtargetscanbevisuallyacquiredfordirecttargetingorspottingforsupportfire*,所有机甲的驾驶舱都是常备配置 它可以进行升级来改善性能. 测距仪增加了目视获取目标 以直接瞄准或引导支援火力的距离.
+2acc*(missile),+ 2 精度. (导弹武器)
allmechscomeequippedwithastockcockpitconfiguration^whichcanbeupgradedforimprovedperformance*commssystemupgradesallowforbetterlancecohesionduringcombat^increasingtheresolvegenerated*,所有机甲的驾驶舱都是常备配置 它可以进行升级来改善性能. 升级通讯系统提高小队战斗期间的凝聚力 增加产生的决心.
allmechscomeequippedwithastockcockpitconfiguration^whichcanbeupgradedforimprovedperformance*cockpitmodsupgradethestructureoftheareathemechwarrioroccupiesduringcombat^grantingincreasedprotectionfrommortalinjuries*,所有机甲的驾驶舱都是常备配置 它可以进行升级来改善性能. 驾驶舱模块升级了机甲战士在战斗中所在空间的结构 增强了防护免受致命伤.
allies,盟友
alliedturn,盟友回合
allied,同盟
allhostileunits:standdown^andyouhavemyoaththatyouwillnotbeharmed*resistandyouwillbefiredupon*,所有敌军单位: 退下 我发誓不会伤害你们. 要是抵抗就射杀你们.
allhandsondeck!weareunderattack!thisisnotadrill!,所有人员就位! 我们遭到袭击! 这不是演习!
allfriendlyunitsmustsurvive,所有友方单位必须存活
allcontracttargetseliminated*thiswasagooddayswork^commander*,所有合约目标都已消灭. 今天真是个工作的好时候 指挥官.
allcontractobjectivescomplete!goodjob^commander*weredonehere*,所有合约目标都完成了! 干得漂亮 指挥官. 我们这儿的事了了.
allcatapultvariantsarefundamentallyartilleryplatforms*thecplt-c4isoptimizedformassedlrmfire*thatoptimizationcostsitflexibilitycomparedtotheoriginalc1*lackingthec1smediumlasers^thec4isusuallykeptatlongrangeinafiresupportrole*,所有的"弩炮"变型机从根本上讲都是炮兵平台. CPLT-C4型为大量长程导弹(LRM)火力做了优化. 优化的代价是任务弹性不如最初的C1型. 由于缺乏C1型的中型激光 C4型一般留在远距离上担任火力支援角色.
allard,阿拉德
all{team_emp*factiondef*demonym}convoyunitsmustsurvive,所有{TEAM_EMP.FactionDef.Demonym}车队单位必须存活
all,全部
alittlemoney,一点小钱
alittleaccident,一点小意外
alissa,阿莉莎
alightsupportmech^thepanther9riscapableofprovidingpowerfulcoveringfire*the9rusuallycoversfast-movinglightmechsastheyengagetheenemy^butitisequallyathomeusingitsjumpjetstoflank*,"黑豹9R"是一种轻型支援机甲 能提供强大的掩护火力. 9R型经常掩护快速移动接敌的轻型机甲 但它也能自在地使用自己的跃进喷射器迂回敌人.
alibraryismorethanjustadatabaseandastackofe-readers*itrequiresadedicatedspaceforquietstudyandlearning^asfarfromtheraucousloungeaspossible*,一座图书馆不止是一座数据库和一排电子阅读器. 它需要专用的空间来安静学习 尽可能远离喧闹的休息室.
alexandria,亚历山德里亚
alexandersapc,亚历山大的装甲运兵车
alexander^wewerejustattacked!theroyalguardmyownguardsmentriedtotakemeprisoner!,亚历山大 我们刚才被攻击了! 王家卫队\u2014<i>我自己的卫兵</i>\u2014企图抓住我!
alexander?!alexander!,亚历山大?! <i>亚历山大!</i>
alexander!thankthegods!ithoughtidlostyouwhenthebombsfell,亚历山大! 感谢上帝! 炸弹落下时我还以为失去你了\u2026
alexander!canyouhearme?,亚历山大! 能听到吗?
alexander!,<i>亚历山大!</i>
alexander,亚历山大
aheavilyreinforcedandhardenedstructure*,一座花大力气加强加固的构筑物.
aheavilyarmedpiratebandhastakencontrolofafacilityon{tgt_system*name}andareusingitasabaseofoperationsforraidingandterrorizingnearbysettlements*the{team_emp*factiondef*demonym}authoritiesdonothavethelocalmilitaryresourcestoassaultthebase^givenhowextensivelytheyveentrenched*weneedyoutodestroythebasesothattheycannolongeruseitasastagingareafortheircriminalacts*,一群全副武装的海盗夺取了{TGT_SYSTEM.Name}的一座设施 并把它当成掠夺 恐吓附近定居点的基地. {TEAM_EMP.FactionDef.Demonym}当局缺乏当地军事资源来强攻该基地 让海盗们根深蒂固. 我们需要你摧毁这座基地 让他们再也不能把它作为犯罪活动的待命区.
aheartfeltthank-you,由衷的感谢
aheadstrongfooltotheend*damnyouforthis*[sigh]captainhaust^destroythem*mastiff^mycousinallofthem*leavenosurvivors*,固执的蠢货. 该死的. [叹气]豪斯特上尉 消灭他们. "獒犬" 我表姐\u2026所有人. 一个不留.
ah^yes*welldone^commander*illreportourvictorytothemargraveandcontactyouwithfurtherorders*,啊 是的. 做得不错 指挥官. 我会向边境总督呈报我们的胜利 带着进一步的指示联系你.
ah^thecatapultc1*justlikeitsnamesake^itsgoodatlobbinglargenumbersofmissilesoverterrainwithoutfearofreturnfire*surprisingly^itsalsonottooshabbyatcloserrangesinapinch*,啊 "弩炮C1". 就跟它的名字一样 它长于越过地形抛射大量的导弹 而不用害怕遭到还击. 令人惊讶的是 在近距离的紧要关头 它也绝不寒酸.
ah^shit!incoming!,啊 见鬼! 炮火来袭!
aguardpostoneofthesmallonesthatdottheroadsleadingintothecapital*buttheemergencybandsbeenquietallmorningihaventheardanythingaboutanyfire*,一处岗哨\u2014通往首都的大道上遍布的众多岗哨中的一处. 可一上午紧急频道都安静的很\u2026我没听说有火情.
agromechsaremechsusedforagriculturalandherdingtasksratherthancombat*theyareclassifiedasasubtypeofindustrialmechs*,农业机甲是指用于农业和放牧任务而非战斗的机甲. 它们被归为工业机甲的子类.
agromechs?really?,农业机甲? 真的吗?
agromech,农业机甲
agreetohiretherecruit*,同意雇佣新兵.
agreed*commander^thosenewcontactsareoptionalandtheresnobonusfortakingthemout*thissituationisfallingapartrapidly;recommendyoufinishupandgettothelzasquicklyaspossible*,同意. 指挥官 那些新的接触<i>并非强制</i> 除掉他们也没有奖金. 现在局面正迅速崩溃; 建议你们尽快收工 到达着陆区.
agentguy,代理人
agenericpilotwithaverageskills,一个技术平庸的普通驾驶员
afteryouvemetupwiththeconvoy^getittotheextractionzone^andthengetoutyourselves*goodluck^commander*,等你会合车队后 带它去撤离区 之后再把自己弄出去. 祝你好运 指挥官.
agaussrifleuseselectromagneticchargestoacceleratemetallicroundsatextremelyhighspeed^dealingmassivedamagebykineticforcealone*unlikeautocannons^gaussriflesdonotsufferrecoileffectsfromfiringandhaveabaselinebonustoaccuracy*,高斯线膛炮使用电磁效应将金属弹丸加速到极高的速度，可单靠其动能造成巨大的破坏。和自动炮不同，高斯线膛炮不受后坐影响，精度方面有基准加成。
affirmative^recoveryteaminbound*housekarosasisproudtoservetherestoration^mylady*,了解 回收队过来了. 卡罗萨斯家族很荣幸为光复运动服务 大人.
affirmative;inboundnow*packupandletsgohome^commander*,了解; 正在接近. 收拢完我们就返航 指挥官.
affirmative;illbeonstation*,了解; 我会就位的.
affirmative*imheadinginlow^expectingahotlz*dontmakemewait^boss*,了解. 我正从低空过来 预计着陆区战况激烈. 别让我等 老大.
affirmative!ifispotem^illgiveyouaholler*,了解! 如果我发现他们的话 就会呼叫你.
afewhoursago^someenterprisingladsfromourorganizationplanetsidewereabletoseizecontrolofa{team_tar*factiondef*demonym}researchfacility*theymaybehadntthoughttheirentireplanthrough^sorightnowtheresa{team_tar*factiondef*demonym}strikeforceonthewaytolevelthebasebeforeourboyscandownloadanyvaluabledata*weneedyoutocoverthemwhiletheyfinishupandescape*,几个小时前 我们组织里一些在星球另一边的激进小伙子成功夺取了一座属于{TEAM_TAR.FactionDef.Demonym} 的研究设施. 但他们也许没有考虑过周全的计划 所以现在一批属于{TEAM_TAR.FactionDef.Demonym} 的打击部队正赶去 要在我们的人下载到有价值的资料前夷平该基地. 我们需要你在他们完成下载并摆脱敌人时掩护他们.
